Grassland_medium,Grassland_high,Grassland_low,Crop,Forest_Deciduous,Forest_Mixed,Forest_Coniferous,Forest_even-aged,Forest_uneven-aged,scenario_no,Groups
9,3,3,0,0,0,0,0,0,11,1
3,11,0,1,0,0,0,0,0,37,1
1,0,3,11,0,0,0,0,0,111,1
0,1,13,0,1,0,0,0,0,137,1
0,0,3,11,1,0,0,0,0,211,1
5,5,1,1,3,0,0,0,0,237,1
1,3,5,1,5,0,0,0,0,311,1
5,3,0,0,7,0,0,0,0,337,1
0,0,0,0,15,0,0,0,0,411,1
7,5,1,1,0,1,0,0,0,437,1
0,13,0,0,1,1,0,0,0,511,1
5,7,0,1,1,1,0,0,0,537,1
1,5,5,0,3,1,0,0,0,611,1
5,0,3,3,3,1,0,0,0,637,1
3,1,3,0,7,1,0,0,0,711,1
1,3,1,0,9,1,0,0,0,737,1
7,0,0,5,0,3,0,0,0,811,1
5,5,1,0,1,3,0,0,0,837,1
5,3,0,1,3,3,0,0,0,911,1
1,1,0,7,3,3,0,0,0,937,1
0,1,9,0,0,5,0,0,0,1011,2
1,3,1,5,0,5,0,0,0,1037,2
3,0,1,3,3,5,0,0,0,1111,2
1,1,1,0,7,5,0,0,0,1137,2
3,1,1,0,3,7,0,0,0,1211,2
5,1,0,0,0,9,0,0,0,1237,2
0,0,0,1,3,11,0,0,0,1311,2
0,7,7,0,0,0,1,0,0,1337,2
1,3,1,9,0,0,1,0,0,1411,2
1,7,5,0,1,0,1,0,0,1437,2
9,1,1,0,3,0,1,0,0,1511,2
0,5,5,1,3,0,1,0,0,1537,2
1,0,3,5,5,0,1,0,0,1611,2
3,0,1,3,7,0,1,0,0,1637,2
3,0,9,1,0,1,1,0,0,1711,2
0,5,3,5,0,1,1,0,0,1737,2
0,7,0,5,1,1,1,0,0,1811,2
9,0,1,0,3,1,1,0,0,1837,2
1,1,1,5,5,1,1,0,0,1911,2
0,0,1,5,7,1,1,0,0,1937,2
0,1,5,5,0,3,1,0,0,2011,3
9,0,0,1,1,3,1,0,0,2037,3
3,0,3,0,5,3,1,0,0,2111,3
0,0,3,1,7,3,1,0,0,2137,3
1,1,5,1,1,5,1,0,0,2211,3
3,1,1,1,3,5,1,0,0,2237,3
3,0,0,3,1,7,1,0,0,2311,3
0,0,0,0,7,7,1,0,0,2337,3
0,1,11,0,0,0,3,0,0,2411,3
3,3,3,3,0,0,3,0,0,2437,3
3,3,0,5,1,0,3,0,0,2511,3
1,5,3,0,3,0,3,0,0,2537,3
1,0,3,1,7,0,3,0,0,2611,3
5,3,3,0,0,1,3,0,0,2637,3
5,3,1,1,1,1,3,0,0,2711,3
0,3,0,7,1,1,3,0,0,2737,3
0,0,1,3,7,1,3,0,0,2811,3
0,7,1,1,0,3,3,0,0,2837,3
0,0,5,1,3,3,3,0,0,2911,3
0,0,1,1,7,3,3,0,0,2937,3
3,1,1,0,0,7,3,0,0,3011,4
0,0,1,3,1,7,3,0,0,3037,4
0,0,3,7,0,0,5,0,0,3111,4
0,3,5,1,1,0,5,0,0,3137,4
1,0,0,0,9,0,5,0,0,3211,4
0,3,5,1,0,1,5,0,0,3237,4
0,0,3,3,3,1,5,0,0,3311,4
5,1,1,0,0,3,5,0,0,3337,4
3,1,0,1,0,5,5,0,0,3411,4
1,0,0,1,3,5,5,0,0,3437,4
1,0,5,1,1,0,7,0,0,3511,4
0,1,1,3,3,0,7,0,0,3537,4
1,0,0,3,3,1,7,0,0,3611,4
3,1,0,0,1,3,7,0,0,3637,4
1,1,0,3,1,0,9,0,0,3711,4
1,0,3,1,0,1,9,0,0,3737,4
0,0,3,0,0,1,11,0,0,3811,4
0,0,0,1,1,0,13,0,0,3837,4
3,5,1,5,0,0,0,1,0,3911,4
1,1,1,11,0,0,0,1,0,3937,4
0,1,0,11,0,0,0,3,0,4011,5
3,1,5,1,0,0,0,5,0,4037,5
0,0,5,1,0,0,0,9,0,4111,5
0,0,1,1,0,0,0,13,0,4137,5
3,1,5,5,0,0,0,0,1,4211,5
13,0,0,0,0,0,0,1,1,4237,5
3,0,3,7,0,0,0,1,1,4311,5
3,3,5,0,0,0,0,3,1,4337,5
0,3,5,1,0,0,0,5,1,4411,5
1,5,1,0,0,0,0,7,1,4437,5
5,5,1,1,0,0,0,0,3,4511,5
0,0,9,3,0,0,0,0,3,4537,5
0,3,3,5,0,0,0,1,3,4611,5
7,1,0,1,0,0,0,3,3,4637,5
0,0,0,5,0,0,0,7,3,4711,5
1,0,9,0,0,0,0,0,5,4737,5
0,3,1,5,0,0,0,1,5,4811,5
1,3,0,3,0,0,0,3,5,4837,5
3,3,1,0,0,0,0,1,7,4911,5
0,5,0,0,0,0,0,3,7,4937,5
0,1,0,0,0,0,0,5,9,5011,6
0,0,1,0,0,0,0,3,11,5037,6
