EP_Plotid;Overall_dt_ha
AEG01;162.50
AEG02;173.07
AEG03;89.62
AEG04;95.75
AEG05;62.68
AEG06;110.20
AEG07;5.27
AEG08;15.92
AEG09;8.03
AEG10;50.43
AEG11;143.26
AEG12;147.31
AEG13;153.88
AEG15;170.69
AEG17;77.38
AEG18;169.13
AEG19;102.04
AEG20;36.59
AEG21;140.64
AEG22;37.76
AEG24;155.91
AEG25;8.82
AEG26;41.97
AEG27;24.59
AEG28;14.39
AEG30;48.00
AEG31;30.13
AEG32;8.90
AEG33;28.56
AEG34;27.19
AEG36;124.23
AEG38;80.19
AEG39;145.56
AEG40;118.74
AEG41;125.98
AEG42;93.90
AEG44;60.81
AEG46;41.15
AEG48;8.52
AEG49;20.10
HEG01;131.20
HEG02;113.82
HEG03;143.39
HEG04;140.37
HEG06;126.20
HEG07;53.85
HEG08;26.70
HEG09;9.82
HEG11;31.36
HEG14;80.10
HEG16;21.06
HEG17;8.26
HEG18;10.02
HEG19;8.26
HEG21;9.99
HEG23;66.88
HEG26;27.14
HEG27;97.23
HEG29;63.11
HEG30;102.75
HEG33;79.84
HEG34;71.11
HEG35;84.29
HEG36;107.51
HEG37;70.17
HEG38;68.29
HEG39;36.39
HEG40;53.86
HEG41;17.74
HEG42;8.26
HEG43;12.69
HEG44;10.24
HEG45;8.17
HEG46;12.26
HEG47;60.96
HEG49;56.88
HEG50;35.03
SEG01;164.71
SEG02;127.96
SEG03;155.23
SEG04;70.57
SEG05;110.12
SEG06;56.92
SEG08;91.53
SEG09;55.56
SEG10;116.47
SEG11;138.20
SEG12;176.73
SEG13;138.11
SEG14;42.67
SEG15;139.21
SEG16;111.12
SEG17;53.71
SEG18;141.49
SEG21;44.88
SEG23;110.21
SEG24;47.61
SEG25;70.50
SEG26;120.32
SEG27;48.09
SEG28;87.73
SEG29;69.24
SEG30;149.51
SEG31;88.51
SEG32;127.92
SEG33;63.55
SEG35;69.14
SEG36;47.61
SEG40;67.61
SEG41;65.06
SEG42;118.02
SEG43;56.24
SEG44;38.45
SEG47;44.87
SEG48;51.24
SEG49;59.44
SEG37;52.56
